"DisplayName","DisplayVersion","InstallLocation"
"vs_Graphics_Singletonx64","17.3.32708",""
"vs_minshellinteropx64msi","17.3.32708",""
"vs_minshellx64msi","17.3.32708",""
"Vulkan Run Time Libraries 1.0.65.1","1.0.65.1",
"Vulkan Run Time Libraries 1.0.65.1","1.0.65.1",
"WAR DUST",,"G:\SteamLibrary\steamapps\common\WAR DUST"
"Whirligig",,"F:\SteamLibrary\steamapps\common\Whirligig"
"Windows App Certification Kit Native Components","10.1.22621.1",""
"Windows Mixed Reality for SteamVR ",,"F:\SteamLibrary\steamapps\common\MixedRealityVRDriver"
"Windows PC Health Check","3.6.2204.08001",""
"Windows SDK DirectX x64 Remote","10.1.22621.1",""
"WinRAR 6.11 (64-bit)","6.11.0","C:\Program Files\WinRAR\"
